"Activity" "Subject" "Variable" "MeanValue"
"WalkingUp" 10 "Time_Mean_Body_Acceleration_X" 0.267121853404255
"WalkingDown" 10 "Time_Mean_Body_Acceleration_X" 0.290401594315789
"Sitting" 10 "Time_Mean_Body_Acceleration_X" 0.270612056481481
"Standing" 10 "Time_Mean_Body_Acceleration_X" 0.276650300681818
"Laying" 10 "Time_Mean_Body_Acceleration_X" 0.280230574137931
"Walking" 11 "Time_Mean_Body_Acceleration_X" 0.271821892881356
"WalkingUp" 11 "Time_Mean_Body_Acceleration_X" 0.263775859277778
"WalkingDown" 11 "Time_Mean_Body_Acceleration_X" 0.291605631956522
"Sitting" 11 "Time_Mean_Body_Acceleration_X" 0.276590197358491
"Standing" 11 "Time_Mean_Body_Acceleration_X" 0.277715562765957
"Laying" 11 "Time_Mean_Body_Acceleration_X" 0.280592970877193
"Walking" 12 "Time_Mean_Body_Acceleration_X" 0.2771286656
"WalkingUp" 12 "Time_Mean_Body_Acceleration_X" 0.272970338653846
"WalkingDown" 12 "Time_Mean_Body_Acceleration_X" 0.281521097391304
"Sitting" 12 "Time_Mean_Body_Acceleration_X" 0.275007224901961
"Standing" 12 "Time_Mean_Body_Acceleration_X" 0.277405834918033
"Laying" 12 "Time_Mean_Body_Acceleration_X" 0.260113433
"Walking" 13 "Time_Mean_Body_Acceleration_X" 0.275883130350877
"WalkingUp" 13 "Time_Mean_Body_Acceleration_X" 0.258203939581818
"WalkingDown" 13 "Time_Mean_Body_Acceleration_X" 0.294907553404255
"Sitting" 13 "Time_Mean_Body_Acceleration_X" 0.274328499591837
"Standing" 13 "Time_Mean_Body_Acceleration_X" 0.277758431052632
"Laying" 13 "Time_Mean_Body_Acceleration_X" 0.276716360483871
"Walking" 14 "Time_Mean_Body_Acceleration_X" 0.271959598644068
"WalkingUp" 14 "Time_Mean_Body_Acceleration_X" 0.26242106612963
"WalkingDown" 14 "Time_Mean_Body_Acceleration_X" 0.293422115555556
"Sitting" 14 "Time_Mean_Body_Acceleration_X" 0.279990577037037
"Standing" 14 "Time_Mean_Body_Acceleration_X" 0.280545613833333
"Laying" 14 "Time_Mean_Body_Acceleration_X" 0.233275439803922
"Walking" 15 "Time_Mean_Body_Acceleration_X" 0.273899207962963
"WalkingUp" 15 "Time_Mean_Body_Acceleration_X" 0.270187595833333
"WalkingDown" 15 "Time_Mean_Body_Acceleration_X" 0.280198851190476
"Sitting" 15 "Time_Mean_Body_Acceleration_X" 0.27290337979661
"Standing" 15 "Time_Mean_Body_Acceleration_X" 0.278915803962264
"Laying" 15 "Time_Mean_Body_Acceleration_X" 0.2894756525
"Walking" 16 "Time_Mean_Body_Acceleration_X" 0.276023564509804
"WalkingUp" 16 "Time_Mean_Body_Acceleration_X" 0.255986102627451
"WalkingDown" 16 "Time_Mean_Body_Acceleration_X" 0.295586802191489
"Sitting" 16 "Time_Mean_Body_Acceleration_X" 0.280768574492754
"Standing" 16 "Time_Mean_Body_Acceleration_X" 0.283497402948718
"Laying" 16 "Time_Mean_Body_Acceleration_X" 0.274227162571429
"Walking" 17 "Time_Mean_Body_Acceleration_X" 0.272341855245902
"WalkingUp" 17 "Time_Mean_Body_Acceleration_X" 0.252604768583333
"WalkingDown" 17 "Time_Mean_Body_Acceleration_X" 0.29391828326087
"Sitting" 17 "Time_Mean_Body_Acceleration_X" 0.2773570196875
"Standing" 17 "Time_Mean_Body_Acceleration_X" 0.277942503333333
"Laying" 17 "Time_Mean_Body_Acceleration_X" 0.269780085577465
"Walking" 18 "Time_Mean_Body_Acceleration_X" 0.273887758571429
"WalkingUp" 18 "Time_Mean_Body_Acceleration_X" 0.265401201896552
"WalkingDown" 18 "Time_Mean_Body_Acceleration_X" 0.288439468909091
"Sitting" 18 "Time_Mean_Body_Acceleration_X" 0.27727001877193
"Standing" 18 "Time_Mean_Body_Acceleration_X" 0.278458805890411
"Laying" 18 "Time_Mean_Body_Acceleration_X" 0.274691576923077
"Walking" 19 "Time_Mean_Body_Acceleration_X" 0.273931172307692
"WalkingUp" 19 "Time_Mean_Body_Acceleration_X" 0.242118808925
"WalkingDown" 19 "Time_Mean_Body_Acceleration_X" 0.262688053871795
"Sitting" 19 "Time_Mean_Body_Acceleration_X" 0.273830316164384
"Standing" 19 "Time_Mean_Body_Acceleration_X" 0.27817226
"Laying" 19 "Time_Mean_Body_Acceleration_X" 0.272653733493976
"Walking" 20 "Time_Mean_Body_Acceleration_X" 0.272589336470588
"WalkingUp" 20 "Time_Mean_Body_Acceleration_X" 0.252098317156863
"WalkingDown" 20 "Time_Mean_Body_Acceleration_X" 0.296144421355556
"Sitting" 20 "Time_Mean_Body_Acceleration_X" 0.278045439090909
"Standing" 20 "Time_Mean_Body_Acceleration_X" 0.278076904657534
"Laying" 20 "Time_Mean_Body_Acceleration_X" 0.239507882205882
"Walking" 21 "Time_Mean_Body_Acceleration_X" 0.279183526730769
"WalkingUp" 21 "Time_Mean_Body_Acceleration_X" 0.265194544680851
"WalkingDown" 21 "Time_Mean_Body_Acceleration_X" 0.3014610196
"Sitting" 21 "Time_Mean_Body_Acceleration_X" 0.277539616823529
"Standing" 21 "Time_Mean_Body_Acceleration_X" 0.27695224258427
"Laying" 21 "Time_Mean_Body_Acceleration_X" 0.271325472455556
"Walking" 22 "Time_Mean_Body_Acceleration_X" 0.27886459
"WalkingUp" 22 "Time_Mean_Body_Acceleration_X" 0.248391534566667
"WalkingDown" 22 "Time_Mean_Body_Acceleration_X" 0.284458963861111
"Sitting" 22 "Time_Mean_Body_Acceleration_X" 0.273583822709677
"Standing" 22 "Time_Mean_Body_Acceleration_X" 0.279053861587302
"Laying" 22 "Time_Mean_Body_Acceleration_X" 0.279959721194444
"Walking" 23 "Time_Mean_Body_Acceleration_X" 0.273211884237288
"WalkingUp" 23 "Time_Mean_Body_Acceleration_X" 0.249995171031373
"WalkingDown" 23 "Time_Mean_Body_Acceleration_X" 0.289897411148148
"Sitting" 23 "Time_Mean_Body_Acceleration_X" 0.273351251617647
"Standing" 23 "Time_Mean_Body_Acceleration_X" 0.277899323235294
"Laying" 23 "Time_Mean_Body_Acceleration_X" 0.274038007986111
"Walking" 24 "Time_Mean_Body_Acceleration_X" 0.276980816034483
"WalkingUp" 24 "Time_Mean_Body_Acceleration_X" 0.269881106779661
"WalkingDown" 24 "Time_Mean_Body_Acceleration_X" 0.288631208909091
"Sitting" 24 "Time_Mean_Body_Acceleration_X" 0.273475690147059
"Standing" 24 "Time_Mean_Body_Acceleration_X" 0.280348883913043
"Laying" 24 "Time_Mean_Body_Acceleration_X" 0.272850494930556
"Walking" 25 "Time_Mean_Body_Acceleration_X" 0.278992759054054
"WalkingUp" 25 "Time_Mean_Body_Acceleration_X" 0.277995411384615
"WalkingDown" 25 "Time_Mean_Body_Acceleration_X" 0.291329666206897
"Sitting" 25 "Time_Mean_Body_Acceleration_X" 0.278541482461538
"Standing" 25 "Time_Mean_Body_Acceleration_X" 0.278013701621622
"Laying" 25 "Time_Mean_Body_Acceleration_X" 0.250791828613699
"Walking" 26 "Time_Mean_Body_Acceleration_X" 0.279264443728814
"WalkingUp" 26 "Time_Mean_Body_Acceleration_X" 0.272691394545455
"WalkingDown" 26 "Time_Mean_Body_Acceleration_X" 0.2792845828
"Sitting" 26 "Time_Mean_Body_Acceleration_X" 0.258243530166667
"Standing" 26 "Time_Mean_Body_Acceleration_X" 0.281127035405405
"Laying" 26 "Time_Mean_Body_Acceleration_X" 0.271645864540789
"Walking" 27 "Time_Mean_Body_Acceleration_X" 0.276849485438596
"WalkingUp" 27 "Time_Mean_Body_Acceleration_X" 0.265770253921569
"WalkingDown" 27 "Time_Mean_Body_Acceleration_X" 0.2975441875
"Sitting" 27 "Time_Mean_Body_Acceleration_X" 0.273941302571429
"Standing" 27 "Time_Mean_Body_Acceleration_X" 0.279566921625
"Laying" 27 "Time_Mean_Body_Acceleration_X" 0.274102492432432
"Walking" 28 "Time_Mean_Body_Acceleration_X" 0.281228223888889
"WalkingUp" 28 "Time_Mean_Body_Acceleration_X" 0.262005841764706
"WalkingDown" 28 "Time_Mean_Body_Acceleration_X" 0.293642076521739
"Sitting" 28 "Time_Mean_Body_Acceleration_X" 0.276977629444444
"Standing" 28 "Time_Mean_Body_Acceleration_X" 0.277795069113924
"Laying" 28 "Time_Mean_Body_Acceleration_X" 0.2759134825
"Walking" 29 "Time_Mean_Body_Acceleration_X" 0.271999916792453
"WalkingUp" 29 "Time_Mean_Body_Acceleration_X" 0.265423066877551
"WalkingDown" 29 "Time_Mean_Body_Acceleration_X" 0.293140441083333
"Sitting" 29 "Time_Mean_Body_Acceleration_X" 0.2771799775
"Standing" 29 "Time_Mean_Body_Acceleration_X" 0.277965065846154
"Laying" 29 "Time_Mean_Body_Acceleration_X" 0.287295196811594
"Walking" 30 "Time_Mean_Body_Acceleration_X" 0.276406758
"WalkingUp" 30 "Time_Mean_Body_Acceleration_X" 0.271415642261538
"WalkingDown" 30 "Time_Mean_Body_Acceleration_X" 0.283190646967742
"Sitting" 30 "Time_Mean_Body_Acceleration_X" 0.268336081379032
"Standing" 30 "Time_Mean_Body_Acceleration_X" 0.277112699152542
"Laying" 30 "Time_Mean_Body_Acceleration_X" 0.281033900571429
"Walking" 1 "Time_Mean_Body_Acceleration_Y" -0.0173838185273684
"WalkingUp" 1 "Time_Mean_Body_Acceleration_Y" -0.0239531492643396
"WalkingDown" 1 "Time_Mean_Body_Acceleration_Y" -0.00991850461020408
"Sitting" 1 "Time_Mean_Body_Acceleration_Y" -0.00130828765170213
"Standing" 1 "Time_Mean_Body_Acceleration_Y" -0.0161375901037736
"Laying" 1 "Time_Mean_Body_Acceleration_Y" -0.0405139534294
"Walking" 2 "Time_Mean_Body_Acceleration_Y" -0.0185949199145763
"WalkingUp" 2 "Time_Mean_Body_Acceleration_Y" -0.0214121132045833
"WalkingDown" 2 "Time_Mean_Body_Acceleration_Y" -0.0226614158361702
"Sitting" 2 "Time_Mean_Body_Acceleration_Y" -0.0156879937282609
"Standing" 2 "Time_Mean_Body_Acceleration_Y" -0.0184208270166667
"Laying" 2 "Time_Mean_Body_Acceleration_Y" -0.0181587397583333
"Walking" 3 "Time_Mean_Body_Acceleration_Y" -0.0171767844203448
"WalkingUp" 3 "Time_Mean_Body_Acceleration_Y" -0.0324109410555932
"WalkingDown" 3 "Time_Mean_Body_Acceleration_Y" -0.0193554079328571
"Sitting" 3 "Time_Mean_Body_Acceleration_Y" -0.00350299841730769
"Standing" 3 "Time_Mean_Body_Acceleration_Y" -0.0143376555065574
"Laying" 3 "Time_Mean_Body_Acceleration_Y" -0.0189556785048387
"Walking" 4 "Time_Mean_Body_Acceleration_Y" -0.0148399475341667
"WalkingUp" 4 "Time_Mean_Body_Acceleration_Y" -0.0319804295729615
"WalkingDown" 4 "Time_Mean_Body_Acceleration_Y" -0.00980200850666667
"Sitting" 4 "Time_Mean_Body_Acceleration_Y" -0.007163065158
"Standing" 4 "Time_Mean_Body_Acceleration_Y" -0.00948911098553571
"Laying" 4 "Time_Mean_Body_Acceleration_Y" -0.0150031841055556
"Walking" 5 "Time_Mean_Body_Acceleration_Y" -0.0172850317482679
"WalkingUp" 5 "Time_Mean_Body_Acceleration_Y" -0.0325269755153191
"WalkingDown" 5 "Time_Mean_Body_Acceleration_Y" -0.00850107533191489
"Sitting" 5 "Time_Mean_Body_Acceleration_Y" -0.00990083527045455
"Standing" 5 "Time_Mean_Body_Acceleration_Y" -0.00700418554517857
"Laying" 5 "Time_Mean_Body_Acceleration_Y" -0.0183042123269231
"Walking" 6 "Time_Mean_Body_Acceleration_Y" -0.0168954189082456
"WalkingUp" 6 "Time_Mean_Body_Acceleration_Y" -0.0272425385070588
"WalkingDown" 6 "Time_Mean_Body_Acceleration_Y" -0.019536840063125
"Sitting" 6 "Time_Mean_Body_Acceleration_Y" -0.0145911615290909
"Standing" 6 "Time_Mean_Body_Acceleration_Y" -0.0181236327175439
"Laying" 6 "Time_Mean_Body_Acceleration_Y" -0.0102529170561404
"Walking" 7 "Time_Mean_Body_Acceleration_Y" -0.018653665345614
"WalkingUp" 7 "Time_Mean_Body_Acceleration_Y" -0.0275639005607843
"WalkingDown" 7 "Time_Mean_Body_Acceleration_Y" -0.0166332372978723
"Sitting" 7 "Time_Mean_Body_Acceleration_Y" -0.01461097580375
"Standing" 7 "Time_Mean_Body_Acceleration_Y" -0.0145740341037736
"Laying" 7 "Time_Mean_Body_Acceleration_Y" -0.0204411516884615
"Walking" 8 "Time_Mean_Body_Acceleration_Y" -0.0186628865310417
"WalkingUp" 8 "Time_Mean_Body_Acceleration_Y" -0.0282415136341463
"WalkingDown" 8 "Time_Mean_Body_Acceleration_Y" -0.0211058674973684
"Sitting" 8 "Time_Mean_Body_Acceleration_Y" -0.00672550621304348
"Standing" 8 "Time_Mean_Body_Acceleration_Y" -0.0148113067148148
"Laying" 8 "Time_Mean_Body_Acceleration_Y" -0.0212281733881481
"Walking" 9 "Time_Mean_Body_Acceleration_Y" -0.0180891971284423
"WalkingUp" 9 "Time_Mean_Body_Acceleration_Y" -0.0195101099975714
"WalkingDown" 9 "Time_Mean_Body_Acceleration_Y" -0.0203994269075476
"Sitting" 9 "Time_Mean_Body_Acceleration_Y" -0.02701677698
"Standing" 9 "Time_Mean_Body_Acceleration_Y" -0.0200454954022222
"Laying" 9 "Time_Mean_Body_Acceleration_Y" -0.020526821662
"Walking" 10 "Time_Mean_Body_Acceleration_Y" -0.017022351190566
"WalkingUp" 10 "Time_Mean_Body_Acceleration_Y" -0.0143854920340426
"WalkingDown" 10 "Time_Mean_Body_Acceleration_Y" -0.0200050770710526
"Sitting" 10 "Time_Mean_Body_Acceleration_Y" -0.015042681852037
"Standing" 10 "Time_Mean_Body_Acceleration_Y" -0.0155418603409091
"Laying" 10 "Time_Mean_Body_Acceleration_Y" -0.024294484137931
"Walking" 11 "Time_Mean_Body_Acceleration_Y" -0.0166475833623729
"WalkingUp" 11 "Time_Mean_Body_Acceleration_Y" -0.0303157822055556
"WalkingDown" 11 "Time_Mean_Body_Acceleration_Y" -0.0178097721219565
"Sitting" 11 "Time_Mean_Body_Acceleration_Y" -0.0149195616754717
"Standing" 11 "Time_Mean_Body_Acceleration_Y" -0.0171990886595745
"Laying" 11 "Time_Mean_Body_Acceleration_Y" -0.0176598052315789
"Walking" 12 "Time_Mean_Body_Acceleration_Y" -0.015560927606
"WalkingUp" 12 "Time_Mean_Body_Acceleration_Y" -0.0263574903403846
"WalkingDown" 12 "Time_Mean_Body_Acceleration_Y" -0.018084266865793
"Sitting" 12 "Time_Mean_Body_Acceleration_Y" -0.0157892988523529
"Standing" 12 "Time_Mean_Body_Acceleration_Y" -0.0169002543196721
"Laying" 12 "Time_Mean_Body_Acceleration_Y" -0.0175203917146667
"Walking" 13 "Time_Mean_Body_Acceleration_Y" -0.0185660651947368
"WalkingUp" 13 "Time_Mean_Body_Acceleration_Y" -0.0277392253910909
"WalkingDown" 13 "Time_Mean_Body_Acceleration_Y" -0.0143723839108511
"Sitting" 13 "Time_Mean_Body_Acceleration_Y" -0.00587732936326531
"Standing" 13 "Time_Mean_Body_Acceleration_Y" -0.0167891993964912
"Laying" 13 "Time_Mean_Body_Acceleration_Y" -0.020440454366129
"Walking" 14 "Time_Mean_Body_Acceleration_Y" -0.0217785380966102
"WalkingUp" 14 "Time_Mean_Body_Acceleration_Y" -0.0204388180024074
"WalkingDown" 14 "Time_Mean_Body_Acceleration_Y" -0.0200141413657778
"Sitting" 14 "Time_Mean_Body_Acceleration_Y" -0.00870565463888889
"Standing" 14 "Time_Mean_Body_Acceleration_Y" -0.01520781344
"Laying" 14 "Time_Mean_Body_Acceleration_Y" -0.0113424652490196
"Walking" 15 "Time_Mean_Body_Acceleration_Y" -0.0170809740090741
"WalkingUp" 15 "Time_Mean_Body_Acceleration_Y" -0.0287523860708333
"WalkingDown" 15 "Time_Mean_Body_Acceleration_Y" -0.00563047804309524
"Sitting" 15 "Time_Mean_Body_Acceleration_Y" -0.0117188472271186
"Standing" 15 "Time_Mean_Body_Acceleration_Y" -0.0183516360396226
"Laying" 15 "Time_Mean_Body_Acceleration_Y" -0.0166296542054167
"Walking" 16 "Time_Mean_Body_Acceleration_Y" -0.0204286929452941
"WalkingUp" 16 "Time_Mean_Body_Acceleration_Y" -0.0143654945011765
"WalkingDown" 16 "Time_Mean_Body_Acceleration_Y" -0.0183898583787234
"Sitting" 16 "Time_Mean_Body_Acceleration_Y" -0.0102497939956522
"Standing" 16 "Time_Mean_Body_Acceleration_Y" -0.0165999672935897
"Laying" 16 "Time_Mean_Body_Acceleration_Y" -0.0166103510562857
"Walking" 17 "Time_Mean_Body_Acceleration_Y" -0.0184875403339344
"WalkingUp" 17 "Time_Mean_Body_Acceleration_Y" -0.0228645614308333
"WalkingDown" 17 "Time_Mean_Body_Acceleration_Y" -0.0167359404347826
"Sitting" 17 "Time_Mean_Body_Acceleration_Y" -0.014156274084375
"Standing" 17 "Time_Mean_Body_Acceleration_Y" -0.0174120064169231
"Laying" 17 "Time_Mean_Body_Acceleration_Y" -0.0168462006729577
"Walking" 18 "Time_Mean_Body_Acceleration_Y" -0.0178023631866071
"WalkingUp" 18 "Time_Mean_Body_Acceleration_Y" -0.0222060684378914
"WalkingDown" 18 "Time_Mean_Body_Acceleration_Y" -0.0168666920221818
"Sitting" 18 "Time_Mean_Body_Acceleration_Y" -0.0128691279736842
"Standing" 18 "Time_Mean_Body_Acceleration_Y" -0.0166353518150685
"Laying" 18 "Time_Mean_Body_Acceleration_Y" -0.0173937684615385
"Walking" 19 "Time_Mean_Body_Acceleration_Y" -0.0191773587903846
"WalkingUp" 19 "Time_Mean_Body_Acceleration_Y" -0.0303986615775
"WalkingDown" 19 "Time_Mean_Body_Acceleration_Y" -0.0145942275069487
"Sitting" 19 "Time_Mean_Body_Acceleration_Y" -0.016739260030137
"Standing" 19 "Time_Mean_Body_Acceleration_Y" -0.0154244056945205
"Laying" 19 "Time_Mean_Body_Acceleration_Y" -0.0171426864421687
"Walking" 20 "Time_Mean_Body_Acceleration_Y" -0.021199992245098
"WalkingUp" 20 "Time_Mean_Body_Acceleration_Y" -0.0282258047588235
"WalkingDown" 20 "Time_Mean_Body_Acceleration_Y" -0.00964120773155556
"Sitting" 20 "Time_Mean_Body_Acceleration_Y" -0.0147229305131818
"Standing" 20 "Time_Mean_Body_Acceleration_Y" -0.0180695049161644
"Laying" 20 "Time_Mean_Body_Acceleration_Y" -0.0144406281132353
"Walking" 21 "Time_Mean_Body_Acceleration_Y" -0.0181610317526923
"WalkingUp" 21 "Time_Mean_Body_Acceleration_Y" -0.0237218695148936
"WalkingDown" 21 "Time_Mean_Body_Acceleration_Y" -0.0173195390157778
"Sitting" 21 "Time_Mean_Body_Acceleration_Y" -0.0144009705494118
"Standing" 21 "Time_Mean_Body_Acceleration_Y" -0.0167084730205618
"Laying" 21 "Time_Mean_Body_Acceleration_Y" -0.0184233048415556
"Walking" 22 "Time_Mean_Body_Acceleration_Y" -0.0167213607957174
"WalkingUp" 22 "Time_Mean_Body_Acceleration_Y" -0.0268622561133333
"WalkingDown" 22 "Time_Mean_Body_Acceleration_Y" -0.0197999371686389
"Sitting" 22 "Time_Mean_Body_Acceleration_Y" -0.0123468446419355
"Standing" 22 "Time_Mean_Body_Acceleration_Y" -0.0158563207496825
"Laying" 22 "Time_Mean_Body_Acceleration_Y" -0.0142629864502778
"Walking" 23 "Time_Mean_Body_Acceleration_Y" -0.0183618711932203
"WalkingUp" 23 "Time_Mean_Body_Acceleration_Y" -0.0323844029237255
"WalkingDown" 23 "Time_Mean_Body_Acceleration_Y" -0.0162111457238889
"Sitting" 23 "Time_Mean_Body_Acceleration_Y" -0.0133945015676471
"Standing" 23 "Time_Mean_Body_Acceleration_Y" -0.0177475547867647
"Laying" 23 "Time_Mean_Body_Acceleration_Y" -0.0216553835833333
"Walking" 24 "Time_Mean_Body_Acceleration_Y" -0.0225446400534483
"WalkingUp" 24 "Time_Mean_Body_Acceleration_Y" -0.0251979434569492
"WalkingDown" 24 "Time_Mean_Body_Acceleration_Y" -0.0145730348310909
"Sitting" 24 "Time_Mean_Body_Acceleration_Y" -0.0131255097938235
"Standing" 24 "Time_Mean_Body_Acceleration_Y" -0.0144785340348986
"Laying" 24 "Time_Mean_Body_Acceleration_Y" -0.0173555210111111
"Walking" 25 "Time_Mean_Body_Acceleration_Y" -0.0186477624716216
"WalkingUp" 25 "Time_Mean_Body_Acceleration_Y" -0.0269863524264615
"WalkingDown" 25 "Time_Mean_Body_Acceleration_Y" -0.0210170522987931
"Sitting" 25 "Time_Mean_Body_Acceleration_Y" -0.0147696808030769
"Standing" 25 "Time_Mean_Body_Acceleration_Y" -0.0163569730274324
"Laying" 25 "Time_Mean_Body_Acceleration_Y" -0.0188943663671233
"Walking" 26 "Time_Mean_Body_Acceleration_Y" -0.0154259586949153
"WalkingUp" 26 "Time_Mean_Body_Acceleration_Y" -0.0281633797398182
"WalkingDown" 26 "Time_Mean_Body_Acceleration_Y" -0.01262580966778
"Sitting" 26 "Time_Mean_Body_Acceleration_Y" -0.00713364541358974
"Standing" 26 "Time_Mean_Body_Acceleration_Y" -0.0166608306652703
"Laying" 26 "Time_Mean_Body_Acceleration_Y" -0.0191895728026316
"Walking" 27 "Time_Mean_Body_Acceleration_Y" -0.0166478783221912
"WalkingUp" 27 "Time_Mean_Body_Acceleration_Y" -0.0200953324078431
"WalkingDown" 27 "Time_Mean_Body_Acceleration_Y" -0.0135564467159091
"Sitting" 27 "Time_Mean_Body_Acceleration_Y" -0.0155269799285714
"Standing" 27 "Time_Mean_Body_Acceleration_Y" -0.016593236445
"Laying" 27 "Time_Mean_Body_Acceleration_Y" -0.0179867611216216
"Walking" 28 "Time_Mean_Body_Acceleration_Y" -0.0156759722981481
"WalkingUp" 28 "Time_Mean_Body_Acceleration_Y" -0.0279443943478431
"WalkingDown" 28 "Time_Mean_Body_Acceleration_Y" -0.0220230465913043
"Sitting" 28 "Time_Mean_Body_Acceleration_Y" -0.0185404441258333
"Standing" 28 "Time_Mean_Body_Acceleration_Y" -0.0172635124672152
"Laying" 28 "Time_Mean_Body_Acceleration_Y" -0.0167537858225
"Walking" 29 "Time_Mean_Body_Acceleration_Y" -0.0162915600588679
"WalkingUp" 29 "Time_Mean_Body_Acceleration_Y" -0.0299465312326531
"WalkingDown" 29 "Time_Mean_Body_Acceleration_Y" -0.01494121505625
"Sitting" 29 "Time_Mean_Body_Acceleration_Y" -0.016630680375
"Standing" 29 "Time_Mean_Body_Acceleration_Y" -0.0172605869061538
"Laying" 29 "Time_Mean_Body_Acceleration_Y" -0.0171965484202899
"Walking" 30 "Time_Mean_Body_Acceleration_Y" -0.0175880385730769
"WalkingUp" 30 "Time_Mean_Body_Acceleration_Y" -0.0253311698786154
"WalkingDown" 30 "Time_Mean_Body_Acceleration_Y" -0.0174383900204839
"Sitting" 30 "Time_Mean_Body_Acceleration_Y" -0.00804731295322581
"Standing" 30 "Time_Mean_Body_Acceleration_Y" -0.0170163887813559
"Laying" 30 "Time_Mean_Body_Acceleration_Y" -0.0194494098614286
"Walking" 1 "Time_Mean_Body_Acceleration_Z" -0.111148103547368
"WalkingUp" 1 "Time_Mean_Body_Acceleration_Z" -0.0973020020943396
"WalkingDown" 1 "Time_Mean_Body_Acceleration_Z" -0.107566190908163
"Sitting" 1 "Time_Mean_Body_Acceleration_Z" -0.104544182255319
"Standing" 1 "Time_Mean_Body_Acceleration_Z" -0.110601817735849
"Laying" 1 "Time_Mean_Body_Acceleration_Z" -0.11320355358
"Walking" 2 "Time_Mean_Body_Acceleration_Z" -0.105500357966102
